current_datetime,current_block_number,gas_price_Gwei
2023-05-28 14:57:29,17358253,32.789549666
2023-05-28 14:57:44,17358254,32.08707331
2023-05-28 14:57:51,17358255,30.965683289
2023-05-28 14:58:07,17358256,30.746803669
2023-05-28 14:58:12,17358257,32.310280494
2023-05-28 14:58:28,17358258,36.335296202
2023-05-28 14:58:44,17358259,38.730202277
2023-05-28 14:58:50,17358260,38.008173859
2023-05-28 14:59:06,17358261,36.613476229
2023-05-28 14:59:16,17358262,37.050777747
2023-05-28 14:59:33,17358263,36.586270136
2023-05-28 14:59:38,17358264,35.792818727
2023-05-28 14:59:54,17358265,35.991947772
2023-05-28 14:59:59,17358266,35.991947772
2023-05-28 15:00:15,17358267,33.942218759
2023-05-28 15:00:31,17358268,36.603504849
2023-05-28 15:00:54,17358269,38.919992753
2023-05-28 15:01:04,17358270,40.4174799
2023-05-28 15:01:16,17358271,39.069364166
2023-05-28 15:01:32,17358272,38.773420423
2023-05-28 15:01:40,17358273,38.331156989
2023-05-28 15:01:56,17358274,38.091175875
2023-05-28 15:02:01,17358275,37.917892107
2023-05-28 15:02:17,17358276,37.833933236
2023-05-28 15:02:34,17358277,36.6146203
2023-05-28 15:02:40,17358278,36.216694314
2023-05-28 15:02:50,17358279,36.347350669
2023-05-28 15:03:01,17358280,34.019222
2023-05-28 15:03:19,17358281,37.235467786
2023-05-28 15:03:24,17358282,37.391639139
2023-05-28 15:03:43,17358283,37.835048226
2023-05-28 15:03:48,17358284,37.972705681
2023-05-28 15:04:04,17358285,38.258660704
2023-05-28 15:04:15,17358286,36.743495082
2023-05-28 15:04:31,17358287,36.544775271
2023-05-28 15:04:43,17358288,36.129482805
2023-05-28 15:04:53,17358289,34.693824411
2023-05-28 15:05:09,17358290,35.209068579
2023-05-28 15:05:14,17358291,35.94800066
2023-05-28 15:05:31,17358292,36.142565384
2023-05-28 15:05:37,17358293,34.423797562
2023-05-28 15:05:54,17358294,37.50925125
2023-05-28 15:06:10,17358295,36.443583262
2023-05-28 15:06:18,17358296,34.782009151
2023-05-28 15:06:29,17358297,34.670628457
2023-05-28 15:06:39,17358298,34.66096395
2023-05-28 15:06:56,17358299,34.597025591
2023-05-28 15:07:02,17358300,35.160218856
2023-05-28 15:07:18,17358301,33.576912228
2023-05-28 15:07:34,17358302,32.69061014
2023-05-28 15:07:39,17358303,33.797677316
2023-05-28 15:07:55,17358304,32.721355812
2023-05-28 15:08:00,17358305,33.099772782
2023-05-28 15:08:16,17358306,37.222191297
2023-05-28 15:08:27,17358307,40.813437557
2023-05-28 15:08:43,17358308,39.796678489
2023-05-28 15:08:54,17358309,38.905159237
2023-05-28 15:09:04,17358310,38.563240835
2023-05-28 15:09:15,17358311,37.361927409
2023-05-28 15:09:28,17358312,36.10998161
2023-05-28 15:09:44,17358313,37.015184023
2023-05-28 15:09:50,17358314,36.790068464
2023-05-28 15:10:07,17358315,37.138023314
2023-05-28 15:10:12,17358316,36.242479097
2023-05-28 15:10:29,17358317,37.014662861
2023-05-28 15:10:45,17358318,37.158571905
2023-05-28 15:10:50,17358319,37.281239483
2023-05-28 15:11:07,17358320,35.489455413
2023-05-28 15:11:12,17358321,36.833448134
2023-05-28 15:11:29,17358322,35.905211042
2023-05-28 15:11:34,17358323,35.905211042
2023-05-28 15:11:51,17358324,36.010956384
2023-05-28 15:12:07,17358325,35.201904084
2023-05-28 15:12:17,17358326,35.346889281
2023-05-28 15:12:33,17358327,35.660002378
2023-05-28 15:12:40,17358328,31.215002081
2023-05-28 15:12:52,17358329,35.099471801
2023-05-28 15:13:04,17358330,35.894104767
2023-05-28 15:13:20,17358331,34.684511304
2023-05-28 15:13:30,17358332,34.199711677
2023-05-28 15:13:36,17358333,34.391190935
2023-05-28 15:13:55,17358334,33.740198495
2023-05-28 15:14:00,17358335,33.798354827
2023-05-28 15:14:17,17358336,32.766948205
2023-05-28 15:14:22,17358337,32.766948205
2023-05-28 15:14:39,17358338,33.047867943
2023-05-28 15:14:57,17358339,32.156334549
2023-05-28 15:15:02,17358340,36.153326437
2023-05-28 15:15:18,17358341,37.33698194
2023-05-28 15:15:28,17358342,36.619667832
2023-05-28 15:15:45,17358343,35.730333567
2023-05-28 15:15:50,17358344,33.846776345
2023-05-28 15:16:06,17358345,33.131711121
2023-05-28 15:16:11,17358346,33.131711121
2023-05-28 15:16:27,17358347,33.199168875
2023-05-28 15:16:44,17358348,33.053643519
2023-05-28 15:16:49,17358349,32.335875595
2023-05-28 15:17:06,17358350,32.020145685
2023-05-28 15:17:16,17358351,31.486272154
2023-05-28 15:17:29,17358352,31.239129168
2023-05-28 15:17:39,17358353,35.123590166
2023-05-28 15:17:56,17358354,38.390065878
2023-05-28 15:18:02,17358355,37.389358684
2023-05-28 15:18:18,17358356,38.568513151
2023-05-28 15:18:35,17358357,37.631524036
2023-05-28 15:18:40,17358358,36.565060777
2023-05-28 15:18:56,17358359,35.817019559
2023-05-28 15:19:01,17358360,34.868078176
2023-05-28 15:19:17,17358361,33.78494505
2023-05-28 15:19:28,17358362,34.111418265
2023-05-28 15:19:39,17358363,34.156687404
2023-05-28 15:19:54,17358364,33.143968098
2023-05-28 15:20:06,17358365,32.838713979
2023-05-28 15:20:17,17358366,31.561171606
2023-05-28 15:20:27,17358367,31.508871866
2023-05-28 15:20:39,17358368,31.122841127
2023-05-28 15:20:50,17358369,31.551685629
2023-05-28 15:21:05,17358370,30.23154673
2023-05-28 15:21:11,17358371,30.23154673
2023-05-28 15:21:29,17358372,34.32865497
2023-05-28 15:21:45,17358373,36.878579377
2023-05-28 15:21:50,17358374,35.406682855
2023-05-28 15:22:06,17358375,34.554601963
2023-05-28 15:22:12,17358376,34.188311645
2023-05-28 15:22:29,17358377,33.273898083
2023-05-28 15:22:39,17358378,32.066091468
2023-05-28 15:22:50,17358379,31.868854025
2023-05-28 15:23:01,17358380,31.27833491
2023-05-28 15:23:17,17358381,31.095936829
2023-05-28 15:23:33,17358382,30.978616175
2023-05-28 15:23:44,17358383,31.660349373
2023-05-28 15:23:55,17358384,35.596854392
2023-05-28 15:24:00,17358385,37.019862939
2023-05-28 15:24:17,17358386,36.617496736
2023-05-28 15:24:33,17358387,36.157670243
2023-05-28 15:24:38,17358388,34.782326133
2023-05-28 15:24:54,17358389,33.688826784
2023-05-28 15:25:11,17358390,32.938365623
2023-05-28 15:25:17,17358391,33.154821899
2023-05-28 15:25:27,17358392,31.971163435
2023-05-28 15:25:39,17358393,31.137264006
2023-05-28 15:25:50,17358394,30.233430428
2023-05-28 15:26:06,17358395,30.361271506
2023-05-28 15:26:22,17358396,29.395655516
2023-05-28 15:26:27,17358397,29.525928657
2023-05-28 15:26:43,17358398,28.690102074
2023-05-28 15:26:59,17358399,29.504044172
2023-05-28 15:27:04,17358400,33.174761734
2023-05-28 15:27:21,17358401,33.687498266
2023-05-28 15:27:27,17358402,32.947239321
2023-05-28 15:27:43,17358403,32.449668519
2023-05-28 15:27:48,17358404,32.267056528
2023-05-28 15:28:04,17358405,31.722920477
2023-05-28 15:28:15,17358406,30.664965132
2023-05-28 15:28:31,17358407,30.072525177
2023-05-28 15:28:41,17358408,30.324133535
2023-05-28 15:28:52,17358409,32.640140883
